essay0,income
"! am a romantic good looking passionate dancer who loves to have
fun and laugh. i love the outdoors-swimming is my second favorite
sport-and can't see too many hawaiian sunsets but also have my
serious and intelligent side. i am a phd psychologist who invests
in real estate is a life coach and tutors. i love judiasm and my
family am well liked and have many lifetime friends as i am loyal
beyond measure. i am looking for a partner in life someone i can
love and care deeply for who can share passion and romance with me
as we dance off into the sunset. we would be deeply connected but
separate as two souls living life side by side nurturing each
other and helping each other to love laugh be joyous and grow. i
am romantic enough to believe my next soulmate is out there-could
it be you? please write me and we will see!",100000
"""best good one left""! why haven't i found you or you found me ?
selective smart fit competitive loungy adventurous and ready
for travel- ..thats you thats me. let's make a plan for a relaxing
trip soon.<br />
i'm emotionally available ( come on that in itself is huge)
affectionate on time fun and independant man on the go. i do work
a lot..but enjoy focusing entirely on you/us when together.<br />
a very family guy by nature very animal freindly and wanting a
long term relationship. by the time we meet each other we should be
earnest in really allowing this to happen willing now. ok life
holds no gurarantees -but it can and will respect mutual
promises.<br />
multi-relationship taskers need not apply and sorry - no newly
divorced daters. i'm that 18 years married 6 years single kind of
catch. neither of us are easily hooked but once we see each others
comfortable nets we'll easily land each other. we have our freinds
and family and lives we come with- but know we balance out best
with love and support towards healthwealth and happiness.<br />
people often ask me if i prefer mike or michael. ok; i like hearing
mike from someone that cares and we're having fun which should be
often. i'm known as michael in my business - and calling me by full
name is a magic way to keep my full attention-<br />
so you get to decide. what a concept...<br />
best<br />
michael",100000
"""i was born a poor black child....""<br />
(no not really.)<br />
<br />
what would <a class=""ilink"" href=""/interests?i=you"">you</a> like to
know?<br />
<br />
you know that guy who when you login to this site you say ""hmm i
wonder if....""? that guy who might be a total jackass or could be
the one? that guy who is a ""(insert # here) %"" match and you
can't help but wonder why?<br />
<br />
i'm that guy! ;-)<br />
<br />
i'm sassy yet not pretentious. confident though inexperienced.
brilliant yet confused. tastes great but less filling.<br />
<br />
get to know me -- my mom says i have a nice personality.<br />
<br />
i am the egg man i am the egg man and i am the walrus",100000
"""is it suppose to rain tomorrow""? someone asks me. i don't know and
don't even care. i am happy in any weather. :)<br />
<br />
i lead a healthy lifestyle. no drugs. open minded. curious in right
directions.<br />
<br />
i play no games. i am allergic to bs.<br />
<br />
be real be kind just like me :))<br />
<br />
i can not tolerate injustice. i am pretty direct and can not hide
my emotions. i am not fond of politically correct people.<br />
<br />
i do smile more in life than in pictures. :)",100000
"""reserved yet fun to be around witty somewhat charming easy
going confident laughs easily.""<br />
<br />
above was my first cut at doing this and i have been informed that
i may not have grasped the concept. droning on and on just isn't my
style so maybe that makes me a good listener. i do listen very
well and believe that words have meaning so i take what is said as
what is meant. probably makes me overly sensitive when discussing
certain topics such as feelings between me and my partner. i like
to kid around and can laugh at myself so that type of verbal
exchange and banter doesn't touch my button.<br />
<br />
i was in the military and worked with and around the military in
various parts of the world. i quit when i realized that i was
missing out on my kids growing up. came back from a month long
assignment in south america and the kids didn't recognize me at the
airport..that was it! that was a long time ago but profoundly
changed my life. got a civilian job a mortgage car payments a
dog and cat the whole suburban thing until the kids were grown.
split from the wife 10 years ago. kids are grown and gone miss
being a fulltime dad but that's the way of the world.<br />
<br />
and yet i still miss the action also the camaraderie of it all
that comes from being in tight spots in far away places.<br />
<br />
droning.",100000
"""that which can be destroyed by the truth should be.""<br />
<br />
chill intuitive powerful subtle ambitious loving intense
silly sexual mindful creative supportive punctual tenacious
full of surprises.<br />
<br />
i have the <a class=""ilink"" href=
""/interests?i=patience"">patience</a> of a saint. i keep my
<a class=""ilink"" href=""/interests?i=commitments"">commitments</a>
therefore i don't commit lightly.<br />
<br />
i embrace <a class=""ilink"" href=""/interests?i=paradox"">paradox</a>
which often immediately precedes an 'aha!' moment.<br />
<br />
i am surrounded by a community of amazing friends who are committed
to mindfulness authenticity and love.<br />
<br />
i tend to go nonverbal when i'm getting deep. unfortunately this
doesn't translate well online. maybe i need to learn more
emoticons...<br />
<br />
i love women in all their flavors and styles and moods for their
curves and their eyes and the ways that those eyes look at
things.<br />
<br />
i smell good. i have an infectious smile. i'm stronger than i
look.<br />
<br />
i'm a healthy type 1 with a 9 wing in the enneagram (the idealist
like gandhi).<br />
<br />
i enjoy continuously reframing ideas; if you read my mind you
would see a lot of semicolons.<br />
<br />
i'm disturbed by all of these sentences beginning with 'i'.<br />
<br />
some things i really like: <a class=""ilink"" href=
""/interests?i=hiking"">hiking</a> in marin <a class=""ilink"" href=
""/interests?i=skiing"">skiing</a> in tahoe <a class=""ilink"" href=
""/interests?i=gourmet+cooking"">gourmet cooking</a> long
conversations with both tears and laughter that fiery orange light
from the sunrise when i wake up designing experiences exploring
san francisco music that moves me <a class=""ilink"" href=
""/interests?i=yoga"">yoga</a> <a class=""ilink"" href=
""/interests?i=dancing"">dancing</a> <a class=""ilink"" href=
""/interests?i=cuddling"">cuddling</a> <a class=""ilink"" href=
""/interests?i=kissing"">kissing</a> <a class=""ilink"" href=
""/interests?i=sex"">sex</a> <a class=""ilink"" href=
""/interests?i=tantra"">tantra</a> wine tasting getting lost in a
good movie learning new skills discovering new ideas sharing
things that are edgy <a class=""ilink"" href=
""/interests?i=cats"">cats</a> long <a class=""ilink"" href=
""/interests?i=hugs"">hugs</a> integrity.",100000
"(aug 2011) so... i have been traveling and therefore ""off the
proverbial market"" last few months...but feelin' i may want to give
this site an actual chance. :) so holla! xoxo<br />
<br />
really??? where is cary grant already??/ ahhhh? or sting??? do they
still come like that? i retire rouge androids in my spare time
&amp; honestly i will fill this out soon....sorry too busy right
now!! :(<br />
also sorry it will take awhile to answer your messages swamped
w/ holidazzzeee! :)<br />
<br />
http://www.youtube.com/watch?v=gya8zfoug4y<br />
<br />
title: king missle - cheesecake truck lyrics<br />
so then i got this idea about driving a cheesecake truck<br />
'cause i figured at the end of the day<br />
i could take some of the leftover cheesecakes home<br />
and i love cheesecake<br />
so i went to the cheesecake company<br />
and they asked me if i could drive a truck<br />
and i said ""yes""<br />
and they said ""you're hired!""<br />
so the next day i got in the truck with all the cheesecakes<br />
and i drove about a block and i just had to have a cheesecake<br />
so i pulled over and opened the truck<br />
and i got a cheesecake<br />
and i also took another one for later<br />
and i took one to bring home<br />
and i took one for my friend farm boy<br />
and by that time i had<br />
eaten one of the cheesecakes so i took another one<br />
then i figured i might as well stop at my house<br />
to drop off all the cheesecakes<br />
so i take five cakes to eat on the way<br />
and i drive another block and a half to my house<br />
now it's lunchtime so i eat ten cheesecakes<br />
and a cheesecake for desert<br />
i should point out by the way<br />
that all of these cheesecakes were very delicious<br />
anyway i decided that the only thing to do<br />
would be to eat all the rest of the cheesecakes<br />
and hide the truck somewhere<br />
and leave town<br />
and i miss everybody a lot<br />
but i'm not really sorry<br />
'cause they were very delicious cheesecakes",100000
"(preface: back after a long stretch of dormancy while pursuing
other priorities.)<br />
<br />
wish this didn't sound picky it's not intended to but... i feel
there are maybe just a few right partners of the romantic variety
for me and possibly you if you're also ""not picky but..."" i'm
looking for that us. naturally ""right"" means physical and
emotional chemistry compatible temperaments shared values and the
je ne sais quoi. if all that mercifully and exuberantly syncs i
believe we'll know. if it doesn't couldn't really matter less what
i say here. speaking of which pickle rodeo linoleum chalk salt
water taffy.<br />
<br />
p.s. not entirely naive to dynamics such as attachment theory
limerence plasticity of emotional affect etc. don't care; still
believe in the above having witnessed it in a few miraculously
lucky and abiding relationships of others over the years.",100000
"(recycling profiles more later)<br />
not an alcoholic not looking for a mom.. doesn't need your money
not a fix-it project not ambivalent... happy with life.. more to
come..",100000
"(update since im in an extra goofy mood i want this to read like
an advert)<br />
<br />
are you dreaming of that exciting passion filled relationship you
always wanted?<br />
have your past dating experiences been as exciting as dating archie
bunker?<br />
wanting a man that will communicate with you during your day so
that you feel wanted liked adored?<br />
sick of being bored with a guy that just watches tv and sports all
day and night?<br />
do you want someone that actually stays awake after sex that
cuddles and talks to you with lots of giggling?!<br />
someone you can count on when things are rough in life?<br />
someone loyal as a canine?<br />
passionate as a greek god?<br />
well read on as your search may finally be over!!<br />
<br />
i think what best characterizes me is that i am well balanced in
my attitudes towards life. i can be serious and responsible when
the time calls for it and other times i can be more wild
spontaneous and very funny. i can be a father-like figure more
conservative a handy-man and at the same time i can cook and be
more in touch with my feminine side ( sounds goofy i know). i can
be boyish and playful and then i can be totally masculine and
sensual. yes i know that sounds funny for a man but i am very
sensual.<br />
<br />
also family means everything to me and i try to be gratefully
everyday for all that has been given to me in this life. simple
solution for happiness everyday is to count our blessings.<br />
<br />
passions:<br />
<br />
my passions are playing guitar which i have been doing for over 25
years. i have the need to express myself in a passionate way so
that is why i love music and playing an instrument.<br />
<br />
i love cooking good food good spirits and sometimes just hanging
out and watching a great movie.<br />
you know laying in bed and talking about everything and anything
and lots of giggling in between.<br />
btw i am not the type of man to lay in bed and go to sleep right
away and start snoring. lol its true.<br />
<br />
i am a very very giving person. i love cooking a romantic dinner
for my companion and keeping her surprised and happy. when i see my
significant other happy it contributes a lot to my own
happiness.<br />
also i am not photogenic at all. every woman i have met has said
that i look better than my pictures on my profile.<br />
<br />
the best part? i have a personality. recently i had someone on
match actually after being ""entertained by my goofiness from
messaging"" tell me i am too good to be true! lol hmmmmmm maybe i
can put that in a testimonials part?? lol<br />
<br />
oh well...<br />
<br />
does that sound like an inflated ego?<br />
<br />
told you its tough to do this!<br />
<br />
what i am looking for:<br />
<br />
i am looking for my equal.<br />
life is sometimes tough and it makes the good times even
better<br />
love is a two way street that takes dedication and devotion<br />
my profile is 100% real and i expect for a woman's to be as
well<br />
i have only love devotion and hard work to offer<br />
<br />
in the end it is about finding that certain someone that makes you
feel like you are a better person. makes you feel special. someone
that makes you feel like coming ""home"". yes i would like a lot of
different traits in a woman but if i feel that ""certain something""
the rest is fine. but i also believe that relationships have
periods of hard work and sacrifice. anything worth anything needs
self sacrifice. that is what love is to me<br />
<br />
to the really attractive women out there that get tons of mails per
day and haven't found their man. change your approach already! read
the average joes profiles! remember that the george clooneys of the
world became attractive because of their characters.<br />
<br />
jack nicholson<br />
""it's not true. some have great stories pretty stories that take
place at lakes with boats and friends and noodle salad. just no one
in this car. but a lot of people that's their story. good times
noodle salad. what makes it so hard is not that you had it bad but
that you're that pissed that so many others had it good.""<br />
<br />
bottoms up!<br />
<br />
nick",100000
